SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,ShepherdX,ShepherdY,ShepherdX,ShepherdY,ShepherdX,ShepherdY,
224.916,197.286,93.0673,196.19,284.152,198.906,209.642,49.4536,197.547,66.6919,22.1163,171.532,110.565,63.894,145.038,125.972,175.84,64.8852,45.8327,42.1393,37.1853,103.941,102.021,45.4726,280.112,145.776,
224.92,197.285,93.1304,196.186,284.14,198.903,209.504,49.4034,197.561,66.7225,22.1343,171.535,110.559,63.8982,144.978,125.981,175.783,64.8812,45.801,42.1462,37.5524,104.042,102.357,45.6171,280.074,145.498,
224.778,197.327,93.1784,196.183,284.171,198.91,209.547,49.4182,197.535,66.6687,22.2233,171.552,110.55,63.904,144.966,125.983,175.876,64.8852,45.729,42.166,37.9163,104.142,102.692,45.764,280.017,145.14,
224.666,197.359,93.1369,196.186,284.233,198.925,209.635,49.4474,197.578,66.7535,22.1242,171.532,110.541,63.9101,144.929,125.988,175.833,64.8832,45.6435,42.1921,38.2762,104.241,103.027,45.914,279.963,144.775,
224.496,197.407,93.1693,196.183,284.163,198.908,209.58,49.4296,197.514,66.6242,22.0114,171.509,110.53,63.9178,144.828,125.997,175.79,64.8831,45.6502,42.1898,38.6279,104.339,103.362,46.066,279.91,144.414,
224.542,197.394,93.0995,196.191,284.192,198.915,209.556,49.4228,197.509,66.6132,21.9003,171.486,110.517,63.9273,144.82,125.998,175.654,64.889,45.5578,42.2259,38.9829,104.441,103.693,46.2191,279.86,144.055,
224.486,197.41,93.2224,196.18,284.209,198.918,209.546,49.4204,197.471,66.5392,21.8585,171.477,110.503,63.9384,144.94,125.981,175.568,64.8939,45.5333,42.2359,39.3384,104.544,104.032,46.3786,279.813,143.697,
224.505,197.404,93.1832,196.183,284.195,198.915,209.668,49.448,197.413,66.4344,21.8181,171.47,110.486,63.9511,144.924,125.983,175.644,64.8889,45.4698,42.2626,39.7047,104.651,104.373,46.54,279.768,143.337,
224.568,197.387,93.1847,196.183,284.142,198.901,209.552,49.4221,197.43,66.464,21.7784,171.465,110.468,63.965,144.984,125.976,175.542,64.8964,45.4868,42.2547,40.061,104.756,104.702,46.6977,279.722,142.961,
224.542,197.394,93.0202,196.187,284.201,198.914,209.557,49.4231,197.41,66.4261,21.7485,171.461,110.449,63.9806,144.973,125.978,175.53,64.8973,45.4102,42.2921,40.4163,104.862,105.032,46.8587,279.68,142.602,
224.516,197.401,92.8713,196.189,284.026,198.878,209.536,49.417,197.4,66.4051,21.7069,171.455,110.428,63.9977,144.99,125.974,175.475,64.9017,45.3612,42.3145,40.7694,104.968,105.356,47.0201,279.64,142.236,
224.462,197.417,92.9355,196.188,283.983,198.869,209.469,49.3935,197.414,66.4358,21.6807,171.451,110.405,64.0169,144.906,125.989,175.57,64.8927,45.3333,42.3258,41.1373,105.078,105.678,47.1826,279.601,141.879,
224.323,197.463,92.7842,196.193,283.939,198.861,209.449,49.3866,197.378,66.356,21.7258,171.458,110.38,64.0381,144.745,126.023,175.544,64.8949,45.3363,42.3247,41.4919,105.184,106.003,47.3482,279.564,141.522,
224.382,197.444,92.8177,196.192,283.96,198.865,209.336,49.3522,197.413,66.4382,21.7861,171.465,110.353,64.0621,144.772,126.017,175.456,64.8991,45.4611,42.28,41.8498,105.293,106.329,47.5171,279.53,141.243,
224.327,197.463,92.7148,196.195,283.949,198.862,209.296,49.3397,197.36,66.312,21.7312,171.459,110.323,64.0891,144.662,126.047,175.413,64.8993,45.5356,42.2532,42.2074,105.402,106.659,47.69,279.484,140.961,
224.316,197.467,92.6744,196.196,284.037,198.891,209.33,49.3494,197.343,66.2738,21.6807,171.455,110.289,64.1194,144.509,126.093,175.359,64.897,45.5792,42.2378,42.5692,105.513,106.984,47.8621,279.418,140.6,
224.401,197.438,92.6334,196.197,284.081,198.906,209.169,49.3072,197.344,66.2757,21.5926,171.448,110.255,64.1511,144.583,126.071,175.365,64.8973,45.5278,42.2567,42.9306,105.623,107.313,48.0393,279.353,140.23,
224.403,197.437,92.6667,196.195,284.127,198.922,209.101,49.288,197.275,66.1303,21.6092,171.449,110.218,64.1862,144.658,126.048,175.34,64.896,45.5168,42.2611,43.2947,105.735,107.636,48.2145,279.292,139.872,
224.361,197.45,92.6402,196.198,283.945,198.856,209.086,49.2827,197.243,66.0626,21.4893,171.442,110.18,64.2232,144.535,126.086,175.417,64.9026,45.5169,42.261,43.6588,105.847,107.953,48.3898,279.232,139.506,
224.237,197.488,92.6291,196.199,283.962,198.862,209.05,49.2682,197.284,66.1453,21.5837,171.448,110.138,64.2644,144.537,126.085,175.315,64.8952,45.4625,42.2852,44.0257,105.96,108.276,48.5716,279.172,139.138,
224.199,197.5,92.5412,196.211,283.864,198.827,209.095,49.2891,197.285,66.1477,21.5866,171.448,110.092,64.3101,144.48,126.099,175.272,64.8919,45.4231,42.3001,44.3856,106.071,108.592,48.7523,279.117,138.781,
224.144,197.516,92.5432,196.21,283.869,198.829,209.084,49.2833,197.311,66.2058,21.4825,171.443,110.047,64.3567,144.568,126.08,175.334,64.8976,45.4118,42.304,44.752,106.182,108.914,48.9377,279.065,138.422,
